COI	COI-5P	CO1	COX1	coxI	COXI		
COII	COX2	CO2		
EF-1a	EF1a	EF1-alpha	EF-1-alpha	EF1 alpha	ef1alpha	elongation factor 1 alpha	elongation factor-1 alpha
CYTB	cytb	Cytb	cyt b
""
""
""
""
""
""
""
